,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
26744,Finance,region_11,Bachelor's,m,other,1,28,3.0,2,0,0,58
26048,Finance,region_2,Master's & above,f,sourcing,1,50,3.0,5,0,0,58
4100,Sales & Marketing,region_10,,m,sourcing,1,28,4.0,2,0,0,48
51666,Procurement,region_16,Bachelor's,m,other,1,37,5.0,4,1,0,72
32456,Technology,region_11,Master's & above,m,sourcing,1,36,3.0,4,1,0,77
49241,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,37,1.0,5,0,1,59
24412,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,36,2.0,5,0,0,48
29539,Technology,region_2,Bachelor's,m,other,1,30,4.0,4,1,0,78
2192,Sales & Marketing,region_2,Master's & above,m,other,1,45,3.0,3,1,0,49
19491,Operations,region_2,Bachelor's,m,sourcing,1,35,5.0,4,0,0,59
35766,Operations,region_24,Bachelor's,m,other,1,35,2.0,3,0,0,68
50292,Finance,region_26,Bachelor's,m,other,1,30,3.0,5,1,0,60
35079,Operations,region_4,Bachelor's,f,sourcing,1,31,3.0,7,0,0,57
14860,Technology,region_27,Master's & above,m,other,1,39,3.0,5,0,0,82
52052,Operations,region_14,Master's & above,m,other,1,38,1.0,10,0,0,56
39969,Analytics,region_7,Master's & above,m,other,1,32,3.0,3,0,0,89
41270,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,39,5.0,2,0,0,48
8119,Sales & Marketing,region_2,Master's & above,m,sourcing,1,40,3.0,11,1,0,49
23485,R&D,region_2,Bachelor's,m,sourcing,1,43,3.0,13,0,0,82
43551,Sales & Marketing,region_26,Master's & above,m,other,1,40,3.0,10,0,0,51
26233,Finance,region_31,Bachelor's,f,other,1,30,3.0,5,0,0,60
12529,Sales & Marketing,region_11,Bachelor's,m,other,1,29,,1,0,0,48
48636,Finance,region_19,Bachelor's,m,sourcing,1,30,1.0,2,1,0,56
22788,Operations,region_2,Master's & above,f,sourcing,1,36,4.0,3,1,0,61
48281,Operations,region_20,Bachelor's,f,other,1,38,5.0,10,0,0,64
10776,Sales & Marketing,region_15,Bachelor's,m,other,1,33,1.0,7,1,0,53
14,R&D,region_2,Master's & above,m,sourcing,1,37,3.0,7,0,0,84
37095,Sales & Marketing,region_1,Bachelor's,f,sourcing,1,25,,1,0,0,50
31454,R&D,region_17,Master's & above,m,sourcing,1,29,,1,0,0,83
789,Operations,region_22,Bachelor's,m,sourcing,1,43,2.0,11,0,0,57
30666,Sales & Marketing,region_27,,m,sourcing,1,29,3.0,5,0,0,52
20211,Operations,region_7,Master's & above,m,other,2,39,3.0,5,0,0,61
7699,Sales & Marketing,region_8,Bachelor's,m,sourcing,1,33,1.0,6,0,0,48
29748,Operations,region_8,Bachelor's,f,other,1,33,4.0,6,0,0,66
48442,Analytics,region_7,,m,other,1,29,1.0,5,0,0,92
9888,Technology,region_2,Master's & above,f,other,1,36,5.0,10,1,0,78
28321,Sales & Marketing,region_17,Master's & above,m,sourcing,1,35,3.0,10,1,0,48
26593,Technology,region_4,Master's & above,f,other,1,31,3.0,7,0,0,75
48571,Operations,region_22,Master's & above,m,sourcing,2,40,4.0,7,1,0,62
20757,Sales & Marketing,region_14,Bachelor's,m,other,1,30,3.0,7,1,0,47
13753,Operations,region_7,Master's & above,f,sourcing,1,43,5.0,3,1,0,60
52123,Sales & Marketing,region_2,,m,sourcing,1,24,4.0,3,1,1,92
13034,Sales & Marketing,region_4,Master's & above,f,other,2,40,1.0,7,0,0,48
42207,Analytics,region_22,Bachelor's,m,referred,1,26,3.0,2,1,0,85
31987,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,37,5.0,3,0,0,46
17015,Procurement,region_22,Bachelor's,m,other,1,33,3.0,5,0,0,69
22680,Operations,region_7,Master's & above,f,other,2,39,3.0,8,0,0,62
44625,Procurement,region_7,Master's & above,f,sourcing,2,32,3.0,6,0,0,72
938,Technology,region_26,Bachelor's,m,sourcing,1,30,1.0,3,0,0,77
4779,Legal,region_2,Bachelor's,f,sourcing,1,28,,1,0,0,59
43356,Operations,region_3,Master's & above,f,other,1,38,4.0,7,0,0,59
44118,Analytics,region_15,Bachelor's,m,other,1,26,3.0,3,0,0,82
20818,Analytics,region_23,Bachelor's,m,other,1,33,1.0,5,0,0,91
45359,Operations,region_19,Bachelor's,m,other,1,29,3.0,3,0,0,61
15176,Technology,region_23,Bachelor's,f,other,1,35,3.0,9,0,0,81
4726,Sales & Marketing,region_2,Master's & above,m,sourcing,1,50,5.0,10,1,0,54
1297,Operations,region_2,Bachelor's,m,other,4,32,2.0,7,0,0,62
9064,Operations,region_19,Bachelor's,m,sourcing,1,40,4.0,14,0,0,60
42587,Analytics,region_22,Bachelor's,f,other,1,32,4.0,5,1,0,85
24885,Operations,region_13,Bachelor's,f,other,1,43,5.0,3,1,0,58
20403,Sales & Marketing,region_10,Master's & above,m,other,1,33,4.0,7,1,0,49
22984,Analytics,region_29,Bachelor's,m,other,1,31,5.0,6,0,0,86
36914,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,35,2.0,4,0,0,58
41716,Operations,region_19,Bachelor's,m,sourcing,1,32,5.0,4,1,0,59
15878,Procurement,region_19,Bachelor's,m,other,1,34,3.0,5,0,0,70
36578,Operations,region_8,Bachelor's,f,sourcing,1,43,3.0,4,1,0,59
33125,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,41,5.0,3,1,0,44
45893,R&D,region_27,Bachelor's,m,sourcing,1,29,1.0,7,0,0,85
40317,Finance,region_2,Below Secondary,m,other,1,25,3.0,2,0,0,60
12292,Sales & Marketing,region_4,Master's & above,f,sourcing,1,36,5.0,5,1,0,50
47876,Procurement,region_27,Below Secondary,f,other,2,23,,1,0,0,74
44742,Sales & Marketing,region_23,Bachelor's,m,other,1,39,2.0,2,0,0,48
54263,Sales & Marketing,region_29,Bachelor's,f,other,1,26,3.0,4,0,0,51
35471,Sales & Marketing,region_2,Bachelor's,m,other,1,25,,1,1,0,48
42292,Operations,region_30,Bachelor's,f,other,2,30,3.0,6,0,0,60
50082,Procurement,region_22,Bachelor's,m,other,2,29,1.0,2,1,0,66
5613,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,32,1.0,8,0,0,53
39014,Finance,region_2,Bachelor's,m,sourcing,1,38,4.0,5,0,0,61
22588,Analytics,region_2,Bachelor's,m,sourcing,3,50,2.0,11,0,0,81
16958,Sales & Marketing,region_9,Bachelor's,m,sourcing,1,28,2.0,5,0,0,48
47984,Finance,region_22,Master's & above,m,other,1,32,4.0,6,1,0,57
33275,Sales & Marketing,region_2,Master's & above,m,sourcing,1,44,4.0,6,0,0,43
32977,Sales & Marketing,region_22,,m,sourcing,1,25,1.0,2,0,0,53
36414,Operations,region_11,Master's & above,m,sourcing,1,39,3.0,7,1,0,61
33152,Operations,region_4,Bachelor's,m,sourcing,1,38,4.0,13,0,0,59
1110,Procurement,region_4,Master's & above,m,sourcing,1,38,2.0,4,1,0,71
24268,Sales & Marketing,region_15,Bachelor's,f,other,1,32,4.0,6,0,1,50
15709,Technology,region_13,Bachelor's,m,other,1,33,3.0,5,0,0,76
35831,Sales & Marketing,region_1,Master's & above,m,sourcing,1,34,3.0,3,0,0,62
49176,Technology,region_26,Bachelor's,f,sourcing,1,37,4.0,8,0,0,83
42725,Sales & Marketing,region_26,,m,other,1,30,4.0,2,0,0,49
37614,R&D,region_22,Bachelor's,m,sourcing,2,29,3.0,2,0,1,80
46081,Operations,region_27,Bachelor's,f,other,1,23,,1,0,0,58
31526,Sales & Marketing,region_22,Bachelor's,m,sourcing,5,30,3.0,3,0,0,53
34933,Sales & Marketing,region_11,Bachelor's,m,other,1,28,1.0,4,0,0,51
33746,Procurement,region_23,Bachelor's,f,other,1,32,5.0,4,1,0,87
37277,R&D,region_4,Bachelor's,m,other,1,31,5.0,6,1,0,83
43970,Sales & Marketing,region_29,Master's & above,f,sourcing,1,36,1.0,10,0,0,49
28260,Procurement,region_2,Bachelor's,m,sourcing,5,46,4.0,17,0,0,70
46119,Procurement,region_21,Bachelor's,f,other,2,28,2.0,5,1,0,66
38383,Analytics,region_15,Bachelor's,m,sourcing,2,35,3.0,3,0,0,85
48369,Analytics,region_22,Bachelor's,m,sourcing,1,31,3.0,3,1,0,84
53746,Sales & Marketing,region_31,Master's & above,m,sourcing,1,52,1.0,7,0,0,50
3873,Sales & Marketing,region_20,Bachelor's,m,other,1,32,1.0,7,0,0,52
328,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,36,5.0,8,0,0,48
8659,Sales & Marketing,region_21,Bachelor's,m,sourcing,1,30,1.0,7,0,0,48
4521,HR,region_7,Bachelor's,m,other,1,32,3.0,3,0,0,48
31554,Procurement,region_22,Bachelor's,m,other,1,31,4.0,4,1,0,75
31361,Procurement,region_17,Master's & above,m,other,1,47,1.0,5,0,0,63
51376,Operations,region_4,Bachelor's,m,sourcing,1,33,5.0,4,1,0,56
27636,R&D,region_22,Master's & above,m,other,2,33,4.0,4,0,0,86
34215,Technology,region_23,Bachelor's,m,sourcing,1,33,2.0,10,0,0,81
26574,Procurement,region_12,Bachelor's,m,sourcing,1,35,3.0,5,1,0,73
30932,HR,region_22,Bachelor's,f,other,1,29,5.0,7,1,0,49
30873,Sales & Marketing,region_22,Bachelor's,m,other,1,38,4.0,5,1,0,48
5362,Technology,region_22,Master's & above,m,sourcing,2,33,5.0,3,1,0,83
36280,Sales & Marketing,region_21,Bachelor's,m,sourcing,1,34,3.0,7,0,0,47
27367,Technology,region_24,Bachelor's,m,other,2,30,3.0,8,0,0,79
38219,Operations,region_14,Bachelor's,f,other,1,33,5.0,4,1,0,62
38834,HR,region_15,Bachelor's,m,other,1,38,2.0,12,0,0,48
2337,Analytics,region_22,Master's & above,m,sourcing,2,35,3.0,6,0,0,93
24213,Technology,region_12,Master's & above,m,other,1,33,3.0,7,1,0,76
53427,Finance,region_2,Bachelor's,m,sourcing,2,32,4.0,5,0,0,61
45054,Analytics,region_2,Master's & above,m,other,1,39,2.0,3,1,0,85
46606,Sales & Marketing,region_2,,m,sourcing,1,39,3.0,2,1,1,44
19599,Operations,region_15,Bachelor's,m,other,2,32,5.0,6,1,0,59
37526,Operations,region_22,Bachelor's,f,other,1,32,3.0,6,0,0,72
23972,Sales & Marketing,region_19,Bachelor's,m,other,1,34,2.0,7,0,0,48
36802,Sales & Marketing,region_8,Master's & above,m,other,1,36,3.0,4,0,0,50
30671,Operations,region_2,Master's & above,f,other,1,34,4.0,2,0,0,56
27036,Finance,region_28,Master's & above,m,sourcing,1,33,3.0,6,1,0,61
8937,Operations,region_29,Bachelor's,m,other,1,30,2.0,6,0,0,58
3317,Sales & Marketing,region_23,Bachelor's,m,other,1,29,1.0,3,0,0,52
47778,Technology,region_2,Master's & above,f,other,1,38,1.0,7,0,0,84
2096,HR,region_31,Bachelor's,f,other,1,33,5.0,5,1,0,50
20059,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,27,5.0,5,1,0,49
47969,Sales & Marketing,region_34,Master's & above,m,sourcing,1,34,2.0,10,0,0,50
9816,Sales & Marketing,region_2,Master's & above,m,sourcing,1,39,3.0,7,1,0,50
23178,Procurement,region_21,Master's & above,m,sourcing,1,43,3.0,3,0,0,72
30813,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,37,1.0,9,0,0,47
53475,Technology,region_2,,m,sourcing,1,45,3.0,13,0,0,80
28972,Procurement,region_26,Bachelor's,m,other,2,34,5.0,3,1,0,66
54402,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,1.0,3,1,0,49
54272,HR,region_27,Bachelor's,m,sourcing,1,25,,1,1,0,50
44275,Operations,region_23,Master's & above,f,other,2,37,3.0,9,0,0,55
36430,R&D,region_4,Master's & above,m,other,1,32,4.0,7,1,0,84
16278,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,28,2.0,5,0,0,50
18043,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,28,2.0,3,0,0,49
13499,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,1.0,5,0,0,48
16389,Technology,region_25,Bachelor's,f,other,2,28,,1,1,0,82
7868,Operations,region_15,Bachelor's,f,sourcing,1,48,3.0,7,0,0,62
33280,Sales & Marketing,region_2,Bachelor's,m,other,3,35,3.0,10,0,0,49
5696,Legal,region_7,Bachelor's,f,other,1,32,3.0,4,0,0,61
8694,Operations,region_11,Master's & above,m,sourcing,1,36,3.0,10,0,0,58
52394,Sales & Marketing,region_13,Bachelor's,m,other,1,60,5.0,8,0,0,46
13740,Operations,region_13,Bachelor's,m,other,1,41,3.0,11,0,0,54
3520,Sales & Marketing,region_2,,m,other,2,48,1.0,15,0,0,48
38454,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,45,3.0,7,0,0,48
49874,Sales & Marketing,region_21,Master's & above,f,sourcing,1,35,3.0,9,1,0,54
31232,HR,region_2,Bachelor's,m,sourcing,1,29,2.0,3,0,0,48
29000,Sales & Marketing,region_15,Master's & above,m,other,1,29,,1,0,0,48
53400,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,48,3.0,3,0,0,50
38361,Procurement,region_19,Bachelor's,m,sourcing,1,31,4.0,6,0,0,72
45924,Technology,region_7,Bachelor's,f,other,1,27,5.0,3,1,0,75
45403,Sales & Marketing,region_2,Master's & above,m,other,1,46,5.0,6,1,0,53
6010,Technology,region_17,Bachelor's,m,other,1,32,4.0,3,1,0,83
45841,Sales & Marketing,region_2,Bachelor's,m,other,1,35,4.0,7,1,0,48
24568,Procurement,region_5,Bachelor's,f,other,2,31,3.0,5,0,0,71
2905,Procurement,region_10,Master's & above,f,sourcing,1,38,3.0,7,1,0,71
6311,Sales & Marketing,region_4,Master's & above,m,sourcing,1,43,4.0,11,0,0,50
39016,Sales & Marketing,region_2,Bachelor's,m,referred,1,36,5.0,9,1,0,51
51239,Operations,region_7,Bachelor's,m,other,1,31,3.0,7,1,0,60
53495,Sales & Marketing,region_8,Bachelor's,m,other,1,26,3.0,3,0,0,48
46475,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,4.0,2,0,0,51
40144,Analytics,region_7,Bachelor's,m,other,1,39,5.0,8,0,0,87
15497,Finance,region_7,Bachelor's,m,other,2,27,4.0,4,0,0,58
46165,Analytics,region_22,Bachelor's,m,other,1,33,4.0,6,1,0,82
22370,Sales & Marketing,region_5,Bachelor's,m,other,1,40,4.0,11,0,0,47
23389,Procurement,region_29,Bachelor's,f,sourcing,1,32,1.0,6,0,0,69
3339,HR,region_16,Bachelor's,f,sourcing,1,33,3.0,2,0,0,52
22087,Operations,region_22,Bachelor's,f,other,1,29,,1,1,0,55
28620,Sales & Marketing,region_23,Master's & above,f,sourcing,1,33,5.0,4,1,0,51
36154,Finance,region_7,Bachelor's,m,sourcing,1,26,3.0,3,0,0,61
416,Sales & Marketing,region_26,,m,other,1,43,1.0,4,0,0,49
38881,Operations,region_2,Bachelor's,m,referred,1,37,3.0,9,1,0,59
11181,Sales & Marketing,region_22,,m,other,2,26,,1,0,0,50
44145,R&D,region_7,Master's & above,m,other,1,37,4.0,10,0,0,81
30003,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,25,3.0,3,0,0,50
20049,Finance,region_2,Bachelor's,m,other,2,27,,1,0,0,63
17019,Procurement,region_13,Bachelor's,f,sourcing,1,30,3.0,7,1,0,67
5072,Technology,region_27,Master's & above,m,other,1,38,3.0,7,0,0,78
51738,Procurement,region_15,Bachelor's,m,other,1,37,1.0,4,0,0,68
21067,Technology,region_14,Bachelor's,f,other,2,31,3.0,5,0,0,82
18067,HR,region_22,Bachelor's,f,sourcing,1,26,3.0,3,0,0,51
21014,Sales & Marketing,region_2,Master's & above,m,other,1,45,4.0,15,0,0,92
48754,Technology,region_26,Bachelor's,m,other,2,31,3.0,5,0,0,80
47859,Operations,region_28,Bachelor's,f,other,1,26,5.0,3,1,0,57
43753,Operations,region_11,Master's & above,m,sourcing,1,39,2.0,3,1,0,59
42068,Operations,region_19,Master's & above,f,sourcing,1,44,1.0,15,0,0,55
51199,HR,region_27,Bachelor's,m,sourcing,1,32,3.0,3,0,0,52
52179,Operations,region_9,Bachelor's,m,sourcing,1,32,1.0,5,0,0,57
38236,Procurement,region_31,Master's & above,f,other,1,34,5.0,6,1,0,70
44463,Procurement,region_2,Master's & above,f,sourcing,1,47,3.0,4,1,0,73
40151,Sales & Marketing,region_4,Master's & above,f,other,1,42,4.0,12,0,0,52
32161,HR,region_22,Bachelor's,f,other,1,28,2.0,2,0,0,54
52100,Technology,region_1,Master's & above,f,sourcing,1,40,5.0,13,1,0,75
37261,R&D,region_8,Bachelor's,m,other,1,30,,1,0,0,83
20645,Finance,region_7,Bachelor's,f,sourcing,1,28,1.0,3,1,0,62
15875,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,30,5.0,5,1,0,53
40431,Technology,region_32,Bachelor's,f,other,1,26,2.0,2,1,0,82
1847,Technology,region_16,Bachelor's,f,other,1,29,1.0,3,0,0,81
29977,Operations,region_22,Master's & above,m,other,1,39,5.0,5,0,0,55
32414,Operations,region_2,Bachelor's,f,other,1,57,4.0,29,0,0,52
11947,Sales & Marketing,region_26,Bachelor's,m,other,3,27,,1,0,0,48
23762,Procurement,region_30,Bachelor's,f,sourcing,1,29,3.0,5,1,0,72
20583,Operations,region_30,Bachelor's,f,sourcing,1,35,3.0,2,0,0,60
37925,Operations,region_8,Master's & above,m,sourcing,1,35,3.0,4,0,0,59
48827,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,33,4.0,4,1,0,46
9266,Sales & Marketing,region_7,Bachelor's,m,other,1,48,5.0,2,1,0,48
3657,Technology,region_2,Bachelor's,f,other,1,38,4.0,7,0,0,83
51091,Operations,region_15,Bachelor's,m,referred,1,38,5.0,3,1,0,60
24796,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,40,1.0,5,0,0,55
1343,Analytics,region_22,Bachelor's,f,other,1,30,5.0,7,1,0,81
18450,Operations,region_32,Bachelor's,m,other,1,33,3.0,5,1,0,57
27532,Operations,region_7,Bachelor's,f,other,1,34,4.0,5,1,0,61
2880,Operations,region_30,Master's & above,m,other,1,37,1.0,2,1,0,58
22797,Technology,region_2,Bachelor's,m,referred,2,33,4.0,7,0,0,79
37351,Analytics,region_22,Bachelor's,m,sourcing,2,30,4.0,4,1,0,82
40982,HR,region_15,Bachelor's,f,sourcing,1,30,3.0,6,0,0,54
48832,Operations,region_2,,f,other,1,40,4.0,6,0,0,63
27384,Operations,region_16,Bachelor's,m,sourcing,1,30,,1,0,0,60
50886,Sales & Marketing,region_13,Bachelor's,f,other,1,30,2.0,3,0,0,50
14023,Sales & Marketing,region_4,Master's & above,f,other,1,37,5.0,4,1,0,49
8021,Analytics,region_2,Master's & above,m,other,1,50,4.0,2,1,0,88
48260,Sales & Marketing,region_6,Bachelor's,f,sourcing,1,27,3.0,1,0,0,54
5364,Procurement,region_15,Bachelor's,m,other,2,29,1.0,4,0,0,72
8154,Technology,region_2,Master's & above,f,other,1,46,3.0,5,1,0,79
52241,Procurement,region_30,Bachelor's,f,sourcing,1,38,5.0,8,1,0,67
18755,Sales & Marketing,region_2,,f,other,1,36,4.0,5,0,0,51
46148,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,42,3.0,3,0,0,48
38180,Operations,region_22,Bachelor's,f,referred,2,35,5.0,8,1,0,58
38283,Sales & Marketing,region_10,Master's & above,m,sourcing,3,37,1.0,4,0,0,52
27058,Sales & Marketing,region_15,Bachelor's,m,other,1,30,3.0,5,0,0,52
17293,Analytics,region_21,Bachelor's,m,sourcing,1,36,1.0,7,1,0,85
22062,Procurement,region_7,Bachelor's,m,other,4,32,4.0,4,1,0,69
2681,Procurement,region_2,Master's & above,f,sourcing,2,45,2.0,15,0,0,70
5998,HR,region_2,Bachelor's,f,sourcing,1,41,1.0,11,0,0,53
45253,Operations,region_2,Master's & above,f,sourcing,1,51,5.0,23,1,0,95
526,Operations,region_8,Bachelor's,f,sourcing,1,25,3.0,1,0,0,62
30727,Operations,region_20,Bachelor's,f,other,1,30,4.0,4,1,0,60
32722,Sales & Marketing,region_16,Master's & above,m,other,1,36,2.0,5,0,0,47
12406,Technology,region_16,Bachelor's,m,other,1,29,3.0,4,0,0,78
6772,Technology,region_4,Master's & above,m,other,1,31,4.0,3,0,0,76
39613,Operations,region_15,Bachelor's,f,sourcing,1,42,3.0,7,0,0,63
